user,tweets,location
BajpaiSwarnima,"My new video on YouTube is out now..!
Please go and check &amp; subscribe to my channel if you like my efforts 🙏… https://t.co/xtg7uszZkw","Dehradun, India"
SrTstudent,Finally some true journals. Truth always comes out. #RIP_POKHRIYAL #JEENEET #PostponeExams_Or_ResignModi https://t.co/k4CTZSAyKF,
JayantT34630338,Delhi Metro should reopen from 6-September not by 7-September  in delhi the center not of delhi students but of nea… https://t.co/QIMKOJcn1c,"Shamli, Uttar Pradesh"
shreekanth97,"#StudentsDislikePMModi
80kcorona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Educati… https://t.co/gUwM6dgX1W",
TaahaArif1,Please postpone #JEENEET today and create the history.. #PostponeJEENEET_Today #SaveJEE_NEETstudentsPM @PMOIndia… https://t.co/2SpvdrmrBr,"Ghaziabad, India"
AnirudhKale3,"Taking Science after 10 is the second biggest mistake of my life.
Downloading my #JEEMain admit still remains first… https://t.co/IuPEEkq3Ya",
theananadankit,"Dear  BJP abhi aap bacho ke sath khelo aur phir bacche baad mein elections mein khelenge ☺️
#NEETJEE #NEET2020… https://t.co/sVGSxdLaq3",
unifyphysics,"Speed is measured as the ratio between distance and time.
.
.
#physic #scientist #StudentsLivesMatters #… https://t.co/20CZUrDwkC",
Vini28183446,Agar hume infection hua due to covid19 #jeeneet exam dete time tab hum FIR krengye #modi aur #pokhriya k khilaf… https://t.co/m0fGzHi1pj,
anuragmedialive,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/fm0EIkW9AT","Lucknow, India"
therandhir_,"Now finally students make mood to show @narendramodi students power.
India needs now #kamkibaat no more… https://t.co/KQqxDmduNe",ᴊᴋo6
M_Sharma2017,"@kitaab31 @IndiaAheadNews Thank you @kitaab31 Ma'am you are continue raising the voice of student.. More power to you 🙏

#JEENEET #JEE2020",Jaipur/delhi/Dubai 
gajodharsingh69,Tips lelo #JEENEET students https://t.co/sbCZpAkpT3,
Rhitik_12,"#StudentsDislikePMModi
80000 corona cases registered yesterday still students have to sit for #JEENEET 
Meanwhile , https://t.co/LbjOxXQsDz","New Delhi, India"
aangfun,"@DrRPNishank Sir we kindly request that you should postponed #JeeNeet exam today.
#INDIAunitedtoPostponeNEET_JEE… https://t.co/DY1XpJhZPn",
Azhar64538636,"@narendramodi #JEENEET  aspirants
Abey sale",
SevadalDD,"#StudentsDislikePMModi
80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Educ… https://t.co/CHUhZSlO9H",Daman
Shubhm18565721,@anjali_maloo @DrRPNishank @narendramodi Postpone #JEENEET @DrRPNishank @PMOIndia https://t.co/mSW9e7xjPD,"Jharkhand, India"
faishal_6,"#StudentsDislikePMModi
80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Educ… https://t.co/lkVmpo2pmp","Lucknow, India"
Rajeevv06622730,"@PMOIndia 80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Ministe… https://t.co/n7sDShdT7i",
iarjunbiswas,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/4Hw9Vshk4K","Kolkata,West Bengal, India"
Rajeevv06622730,"@DrAsh_Mahendra 80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education M… https://t.co/f8XBIv9eCv",
varadmaniyar,"@guptar If the exam is cancelled in one state, the NTA would be compelled to call of the exam nation-wide.

NTA can… https://t.co/MyADZTYH0F",India
Rajeevv06622730,"@NeetJeePospone 80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education M… https://t.co/FRIeGMwRGA",
Rajeevv06622730,"@anubha1812 80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minis… https://t.co/SNFBcFgmMv",
Prateek19365516,"Watch my video on jee neet

I lost my hope

But I can win and I fight

So I again start it

Link-… https://t.co/UDh3MN1h84","Mathura, India"
Abhishe08608431,"Parliament isn’t functional yet due to Covid scare but students must come for exams! Hadd hai!
#JEENEET #StudentLivesMatter",
tanmaytanpure,"#JEENEET
#ModijiJhootMatBolo
#StudentsDislikePMModi 
Every JEE and NEET aspirant ro @narendramodi and @DrRPNishank… https://t.co/XHQyk30OB6",
kumarut31814320,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/J3Ei7qmRxn",
BugleInstant,"Madhya Pradesh government to transport candidates appearing in NEET and JEE exams, from block/district headquarters… https://t.co/WdeXfSAUpj",
Wewanttolive6,@DrRPNishank @narendramodi @AmitShah @PMOIndia @HMOIndia @transformIndia @PIB_India @MIB_India @EduMinOfIndia… https://t.co/8b4lDJYbad,
Wewanttolive6,@DrRPNishank @CfHE_IITH @IITHyderabad @narendramodi @AmitShah @PMOIndia @HMOIndia @transformIndia @EduMinOfIndia… https://t.co/ynFPXSe6H7,
Wewanttolive6,@DrRPNishank @HindustanTimes @narendramodi @AmitShah @PMOIndia @HMOIndia @transformIndia @mygovindia @PIB_India… https://t.co/i8mVFzv5cI,
moneycontrolcom,"Don't have a ride to the JEE-NEET exam center? Check out  ‘EduRide’ now! 👇

#JEENEET #JEEMain #JEE2020 

https://t.co/oEsZKAsNy8",Mumbai
plittooo,"4 lakh dislikes🤣 &amp; counting😅 #StudentPower @narendramodi sahab, no1 wabts 2 hear you talking abt Dogs! So pls talk… https://t.co/Kddik7RY6r",
ABPNews,"#JEEMain2020 Exams From Tuesday - Here's List Of Items Allowed &amp; Prohibited Inside Examination Hall #JEENEET 

Deta… https://t.co/cXdzUYjeXE",India
dhritihazarika1,"Are all the candidates of the exam, corona negative? I am really surprised to see that @EduMinOfIndia is NOT effici… https://t.co/MhMR6DBwHg",Mumbai
beingsuryamadhv,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/Lb6wUiHKft","मिथिलांचल ,भारत 🇮🇳"
OdishaInsight,"For #JEE aspirants in #Bhubaneswar, check the list of free and paid accommodation centres. #Odisha

#JEE2020… https://t.co/RdspP1QgxE",Bhubaneswar. 
atheistdogg,The only reason Modi wants to have these #JEENEET exams is because once these exams are over he can thump his chest… https://t.co/MQMNJwtJXS,"Williamsburg, Brooklyn"
Amanjha62893658,Please @GOI Postponed the exam bcz if you don't do it now the future of India is dark because we are future our you… https://t.co/eGfvHuXapM,"Uttar Pradesh, India"
manjunathansui,"#JEENEET aspirants are made to write exams forcibly
Final year students are in dilemma.
Students are exposed to unw… https://t.co/6zVi2KifM0", Bengaluru
TheBongHead,"Students getting free marks without taking HS exams are opposing #JEENEET exams to get direct entry, without prepar… https://t.co/lXNAzjkXk5",Qatar
Chandu00610407,"Dear govt don't think that only 30 lakh #JEENEET aspirant and their parents are demanding for justice. 

We came to… https://t.co/vNbzOYyn5T","Eluru, India"
HaleemNajma,"Be positive!
#mondaythoughts #MondayMotivaton #NEET2020 #JEENEET #students https://t.co/7wQLrO5MJw",Hyderabad
lillyspickup,Wishing all the students taking #JEENEET the best. A document you must all read is the UN convention for the rights… https://t.co/bJtk1PkVRS,"Utrecht, The Netherlands"
RudraUdgata,"#StudentsDislikePMModi
Hey guys one thing we can do... if we dont give #JEENEET then however they have to conduct t… https://t.co/SX4OBwbVvF",
SonuVRM1,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/RzA2V2ylQB","Buxar, India"
SahaShreejit,"We, aspirant of #jeeneet, ignored by our PM, supreme court, CMs, @DG_NTA, Ministers. Noone think about our health.… https://t.co/2LzkJjFrc0","kolkata,west bengal,INDIA"
Prabhat92996454,"Abbey...... Jab situation conducive nahi thi to jee neet kaise ho rahi hai..??
What do you mean by more conducive??… https://t.co/R95OrBQWhX",
AnkitKu58334234,@PMOIndia Sir Please postpone #JEENEET ....it's our humble request to you. Please don't ignore the drastic situatio… https://t.co/M6abBPN2IA,"Patna, India"
BhabaniPrasadN,"Economy loss due to covid can be ACT OF GOD, but postpone of #JEENEET Cause 4800 crore loss, can edu. Minister… https://t.co/lKyhk0g9td",
DheerajChanda2,"IND efficiency is better than China in terms of total positive Covid cases.
What they did in 6 months we are doing… https://t.co/b6lYhAcfM9",
Iammohi2,"How can you expect from uneducated leaders to think about #JEENEET . Unki soch vaha tak jaati hi nahi.

#JEEMain #JEENEET #ListenToStudents",United Arab Emirates
coolfiredeep,This is the definition of being obtuse. Who does he think he is to play a part in the decision regarding #JEENEET ?… https://t.co/qaSvS14Nga,India
Jha_Satyam_,@advocate_alakh @Abhishe36992170 Is there any update about listing of review petition #JEENEET,
i2ioffice,#JEENEET Aspirants! Would you like to appear with such burning anger in mind &amp; heart? Focus on studies &amp; don't lose… https://t.co/uUVsp1a7UJ,India
AyushJhsuyA,@DrRPNishank should sign an agreement to resign from his position if single neet or jee student dies due to exams i… https://t.co/EfACb8eLXg,
RoshanK24318801,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/1mZv41ijKZ",
BNKushwaha5,"#StudentsDislikePMModi
80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Educ… https://t.co/ISZ6ELiczr",
YuvrajSinha1008,The current management is not enough to conduct the exams. That's why we are demanding postponement. The Government… https://t.co/BkpkYGwnQV,"Patna, India"
jimmyp2101,please postpone jee neet #JEENEET #Mann_Ki_Nahi_Student_Ki_Baat #StudentsLivesMatters,
dhritihazarika1,India reported 80000 cases today. I really want to know if @EduMinOfIndia thinks that not a single candidate is bat… https://t.co/6Q3wz7hsld,Mumbai
cadebrilynn,"#JEENEET 80,000+  In India per day cases new count. #Mann_Ki_Nahi_Student_Ki_Baat https://t.co/fLYprtsyr4",मध्यप्रदेश
DineshS09869331,"80000 corona cases yesterday but students will have to sit for #JEENEET 
Why?
Because Education Minister's only con… https://t.co/1hPb5rfBfz",
SahaShreejit,"Finance Ministers: covid pandemic is a act of GOD
Health Minister: we shouldn't take this pandemic lightly. 
Educat… https://t.co/sPbl82Ds5m","kolkata,west bengal,INDIA"
rajeevclasses,#quizoftheday #QuizTime #quiz #NEET2020 #JEE #JEE_NEET #JEEMain #JEEMain2020 #NEETJEEPostoneKaro #neetpostpone… https://t.co/cySLONJD5S,"Ballygunge, Kolkata"
that_boy_farhan,"80000 corona cases yesterday but students will have to sit for exam

More than 3.9 lakh dislike till now
 #JEENEET… https://t.co/Je7oOU3suc",Gaya
Bhargavv4u,@PMOIndia Postpone #JEENEET,India
SavarnSushant,"@nidhiindiatv @Sonal60867073 IT IS NOT VALID FOR #JEENEET STUDENTS.
KYON HAI NA @narendramodi @drharshvardhan… https://t.co/JJwKf74H2l",JAIPUR
arelanikhil,People gloating about Modi's dislikes on recent videos are a classic example on how they enable his win everytime.… https://t.co/j5BhZZjLZF,Bombaj
awanishkr_,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/1bB7zpGHxR","Siwan, India"
mayfair1958,"@alap003319 @PMOIndia will call back after #JEENEET exams are safely and successfully over! So, #JaichandSuSu has to wait!
🤦🏻‍♂️🤣😂",🇮🇳
Kanishks2002,@PMOIndia @narendramodi @DrRPNishank @DG_NTA NOW TAKE #JEENEET EXAMS AFTER DIWALI. WHY ARE YOU RISKING OUR LIVES NO… https://t.co/wtPaiW0gkA," Rajasthan, India"
___ASHISH__,@Atul14423228 Wah modi hi wah....when chrona is on peak on india.....then you organise #JEENEET  examinations,India
Pragya_Pandeyy,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/yz5TsC7iQy",Tere ghar ke peeche 
SaurabhPohurkar,"#StudentsDislikePMModi
80k corona cases yesterday but students will have to sit for #JEENEET
Why? 
Because Educatio… https://t.co/hZRXd5rCXq",
Rajeevv06622730,"@yadavakhilesh 80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Mi… https://t.co/w0ETUPMCEn",
_Chiranjibi_,@PMOIndia This is Arun Mishra..Who allowed 30 lakhs student to jump into a death pond...shame..shame...… https://t.co/3XRF3yhTCe,"ODISHA,BHARAT"
Rajeevv06622730,"@NoNEetJee 80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minist… https://t.co/WVX42AnpSg",
Rajeevv06622730,"@PMOIndia 80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Ministe… https://t.co/EgRF2uAoUB",
NancyGu37597489,"#StudentsDislikePMModi
80k corona cases yesterday but students will have to sit for #JEENEET

Why?

Because Educati… https://t.co/V4V9qspb4j",
Rajeevv06622730,"@PMOIndia 80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Ministe… https://t.co/XkWri09F6T",
vpmedia4,@PMOIndia Pls postpone #jeeneet pls pls i beg you😭,
JSupremo22,@DrRPNishank @narendramodi @AmitShah @PMOIndia @HMOIndia @transformIndia @PIB_India @MIB_India @EduMinOfIndia… https://t.co/WWoIUW5zeF,"नई दिल्ली, भारत"
profsharmaD,@PMOIndia phone uthao #JEENEET https://t.co/IlQoxeRv4A,India
OmPrakash132,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/8ZLX6AV3s9",India
opiniononly5,"I think Modi is planning #noreservations in India. Why would he lose 17 lakh potential voters of #elections2024?

O… https://t.co/c5V4tVd4fT",
Tanya00117137,"No one cares about the increase in case of covid -19 in India ,atleast now by seeing the present situation plzzz… https://t.co/rriWcBS296","Patna, India"
India4everyone1,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Either organize exams in multiple shifts… https://t.co/LZtaIsnlJR",
Rvin001,"Since we disliked #Sadak2, they are targeting #MannKiBaat
Video. Sharing the link here. Like the video and show the… https://t.co/3o9XRsgN3b",
headline8assam,Netizens expected that Modi would address the #JEE and #NEET issue but they were disappointed after the Prime Minis… https://t.co/STK47Jutaf,Guwahati
Rajeevv06622730,"@PMOIndia 80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Ministe… https://t.co/2OP3qqr4yL",
AnkitaBisw,"@Swamy39 Sir waiting for update
#NoMore_Neet 
#CM_InvokeSDMA_AgainstExamsInCovid 
#CMhelp_NEETJEE 
#JEENEET 
#StudentsDislikePMModi",
nainwal_shivam,"please sir save sir @Swamy39
I have to give both the entrance exam #JeeNeet  
What will happen if I tested positive… https://t.co/BigDkOelPC",
Rajeevv06622730,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/MQAB2GjZ5C",
jellywitch,But Life must go on for #JEENEET students https://t.co/MjXhbXEJgp,
India4everyone1,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/ygKRm1jcNC",
GoswamiArnabRpt,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/iGWXoaHt2z",India
rajdeepk71,@Swamy39 Postponing of #JEENEET is very essential  as #COVID-19 patients increasing everyday..,
SPreet_Bhambra,#SSCdeclareCGLresult govt say not possible due to COVID-19 but exam conducted for #JEENEET how govt think like this… https://t.co/2fbI3976kC,"Jaipur, India"
takeonedigital,"Tell us your opinion: Should entrance exams be conducted amid the COVID-19 pandemic?

#JEENEET #CLAT2020 #JEE2020… https://t.co/ld7C8B48o2","Jammu, Kashmir & Ladakh"
OmPrakash132,"#StudentsDislikePMModi 80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Educ… https://t.co/rxJ1md9nk4",India
yadavhitesh960,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/WrjVTx1mAx","Rajasthan, India"
MemeMidday,"#StudentsDislikePMModi
Modi to #JEENEET and Final year students:- https://t.co/GGK3rLszDi",
NikhilRajawt,@HansrajMeena @LicypriyaK Plz sir i request you all don't promote your political propoganda behind us(#JEENEET stud… https://t.co/pMJXDALgTd,"kanpur, U.P"
kuldeep53086783,"Please postponed the JEE&amp;NEET EXAMS for last time .
We are not demanding for cancellation.
Please try to understand… https://t.co/Np574UAwvo",
InfinityXAlphA,"Dear @HemantSorenJMM JI now your survey has been completed &amp; also published in @Live_Hindustan 

So can we expect t… https://t.co/pdHiL2Z8bL",
nirupamreddy3,"@MamataOfficial mam you are the only hope for #jeeneet aspirants now,please save us.implement the #DMAACT so that t… https://t.co/RNcKBCRnZG",
Mehnaazmalik19,"Ye kaha aa gye hum yuhi Mann ki baat karte -Karte.
80000 corona cases yesterday but students will have to sit for… https://t.co/s4WHFqOdls","New Delhi, India"
e4echennai,Looks like the Ruling party is on an Ego trip and want to conduct NEET and JEE exams what come May students pls tak… https://t.co/Z6peavZRcy,CHENNAI - INDIA
Palak03582099,"@AmitShah sr as u have recovered recently from the corona
Sr plzz @DrRPNishank makes him understand that how deadly… https://t.co/5YJljg8fMw","लखनऊ, भारत"
ashutoshkr09,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/4fIzpFsvqr","Pupri, India"
Ashokkshekhawat,Students are suffering and facing problems to appear for #JEENEET Exam https://t.co/JllXwpByEU,"Mumbai, India "
sahgal_isha,"#StudentsDislikePMModi
80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Educ… https://t.co/pOeJqilIh9",
Neetasp41976780,@nidhiindiatv Do you have any idea when the hearing is for our #JEENEET case?,
sh92am,"PM @narendramodi &amp; his ironical Education Minister @DrRPNishank is pushing India towards abyss.

India is being led… https://t.co/zYyYkQVjjT",India
ssbc2020,@Swamy39 Sir...it wil be really too late if postpone now for after Deepavali...now ehole world is moving on for unl… https://t.co/Q6ZoD6pERE,भारत
syedquadri28,@asadowaisi demanded PM of India to postpone #JEENEET but he request students to be prepared for the exam as the Pr… https://t.co/gLXdj1ggFT,"Hyderabad, India"
aksh_jethliya,"This thread sums up everything on #JEENEET !
Please give it a read,it will make you think for sure .
Thanks for thi… https://t.co/mtSfpeQ2t9","New Delhi / jalore,india"
rahul_mange,Really SAFETY? If you are so concern about the students why not postpone the exams. India has hit the largest no. O… https://t.co/yrDl68lECV,
Adi65397230,"@Swamy39 ji I want to tell you 1 thing
By #SushantSinghRajputCase and our #JEENEET we see your intentions and leade… https://t.co/pUcVrCrsdz",
_Chiranjibi_,@kanak_news This is Arun Mishra..Who allowed 30 lakhs student to jump into a death pond...shame..shame...… https://t.co/TdC4EMZM8n,"ODISHA,BHARAT"
HassanLatif_,"Students expected to appear for JEE Mains during a pandemic...

#NEET_JEE #JEENEET #jeeneetpostpone https://t.co/DyQQRXtLtd",
anket11_bs,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/Jg101XrooW",
Shreyas_1298,Will @PMOIndia announce postponement of #JEENEET exams by today 9:00pm .? If anything happens during exam for any s… https://t.co/6O8xy2CRVT,"Belgaum, India"
usoiindia,"Share this POLL RESULTS @HemantSorenJMM 

POSTPONE JEE &amp; NEET NOW ! 
Or would ditch us ?

This is the LOUD MAJORITY… https://t.co/xins7Yd98R",India
mitra_atreyee,"Not just the daily total cases, look at the density of cases in India! 1 PERSON AMONG EVERY 382 HAVE BEEN INFECTED… https://t.co/kxvAYiAyc4",
KarnatakaSpeaks,"This is beginning only

This is little anger of 25 lakh students against this govt

There are 10 cr students from… https://t.co/9vlqL31A1z","Bengaluru, India"
SatyamMandloi16,"Parliament isn’t functional yet due to Covid scare but students must come for exams! Hadd hai!
#JEENEET #StudentLivesMatter","खरगौन, भारत"
11Petitioners,"@HemantSorenJMM Ji please announce something good we are waiting. #JEENEET

#Mann_Ki_Nahi_Student_Ki_Baat 
#PostponeJEE_NEETinCOVID",
_snehal_273,@narendramodi we don't hate you... this matter is being politicised😐 We just want you to say something about this m… https://t.co/TLNFyUZcGX,
Mr_Aadil_143,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/MeRVju0DQk",अंधभक्त के दिल और दिमाग मै
Nischal_JAIHIND,"Us expressing our love towards the govt and BJP!

jab pokhu margea tab agar corona chala gaya to sadak pe nikal ke… https://t.co/E2wcRIIoen",
Shahinu48630920,"@HemantSorenJMM Sir,please postpone #jeeneet.",
irealmanish,"None care about students, 
None care about #JEENEET students, 
None care about railway students,
None care about ss… https://t.co/N9dtncYVtt","Patna, India"
sharmasaurab_,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/rHMr4jzMQc",
myselfincogn1to,"#StudentsDislikePMModi

So PM didnt even talk anything. 

Media never heard about #JEENEET 

Experts are optimistic… https://t.co/nNVvipOAEs",Earth 
DesiVeer_,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/Ll2TVlyDBS",भारत
Abhishe39317699,"One needs to make decisions based on risk analysis. 
Doing exams now versus doing exams in winter when Covid will m… https://t.co/XJqLZUWbdP","Vancouver, British Columbia"
AnujKum01508917,"@ArvindKejriwal Support Students for #JEENEET

Connect with YouTube Community &amp; Others Social Media ❤️🙌

I Uploaded… https://t.co/1gc8cd67I0",
AnujKum01508917,"@TechnicalGuruji Really Great Bhai Only one #TGFamily #JEENEET

Connect with YouTube Community &amp; Others Social Medi… https://t.co/rIfsajeRI7",
theindianghetto,"Still dislike on rise but BJP IT cell is trying hard for ₹2.
#NoMore_Neet 
#RIP_POKHRIYAL 
#StudentsHatesMrModi… https://t.co/RTuRshhtbe",India
realmohitmp17,"@Swamy39 https://t.co/AX42UWakdy 
See video 🙏 
#Mann_Ki_Nahi_Student_Ki_Baat 
#ModijiJhootMatBolo 
#JEENEET… https://t.co/arcQ6nIf1N",
AnujKum01508917,"@ArvindKejriwal Support Students Jee &amp; Neet Exams Postpone #JEENEET

Connect with YouTube Community &amp; Others Social… https://t.co/cJ1KmsOXhP",
GANGNA15,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why? @narendramodi 

Because Education Mi… https://t.co/mRmi2omC1S",
Princeprashan8,"Indian health system ranking is 145 
But India is on 1st position in daily covid cases &amp; breaking its own record ag… https://t.co/041SXkf9mx","Kota, India"
Madhuri03893180,@MamataOfficial Mam 80k cases today pls postpone the #jeeneet exams..we don't want to come out of our house... it's… https://t.co/aQapZfVsPT,"West Bengal, India"
Bhurva3,#JEENEET row. My opinion about the constant fight and criticism about the students asking for postponement. 🧵,"Hyderabad, India"
subhash86933141,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/yGgDtkL2VS",new delhi  najafgarh  
DishaNahak,Please wear your mask properly so that it covers your nose and mouth. Don’t take off your gloves unless you can’t b… https://t.co/SYIZTRrLiP,Indian Institute of Technology
jaykabra01,"Liberals Earlier - ""Coronavirus is just a propaganda govt. Is making us fool""
Govt.= Ok then, let's do the JEE NEET… https://t.co/mYXzmlKLgR","Bhilwara, India"
doctdcjoshi,@Swamy39 I don’t think it will happen bcz it’s already late #jeeneet,Uttarakhand
dailytrendinn,"What do you want to see on TV news channel?
#IAmSushant #Mann_Ki_Nahi_Student_Ki_Baat #StudentsHatesMrModi… https://t.co/RL8EwL8XOj",
AD1astra,"May your LOGIC rest in peace

#StudentsDislikePMModi 
#StudentsHatesMrModi 
#RIP_POKHRIYAL 
#JEENEET",
natasha_m999,"This 2020 move forward and be resilient students
Help is in the way!
#JEENEET https://t.co/YdPyekmQ62",Dharti Maa ❤🕊
mughe3s,"75,000+ Daily #COVID19 cases in india for 5th straight day and they still want to conduct #Jee and #NEET exams.
Why… https://t.co/6yKYNth7v6",
vishwaaazzz,"IF YOU EVER FEEL LIKE GIVING UP JUST IMAGINE IS GOVERNMENT GIVING UP FOR #JEENEET ""NO""
SO WILL YOU GIVE UP ""NO"" !!… https://t.co/7Ej3m47Ifz",
Akhil_8644,"Let's break the internet today guys 👺
The government hasn't listen to our problems ..we fought bravely but the deaf… https://t.co/jrWKrIY0HI",India
Ishana14174099,"Indian health system ranking is 145 
But India is on 1st position in daily covid cases &amp; breaking its own record ag… https://t.co/4PTV7eKHc5",
anshu_hc86,"Ray of hope #JEENEET 
Thank you @Swamy39 sir 🙏 https://t.co/DRiiWBshNn",
aviraj_3585,"One last hope 
Students trust only you sir @Swamy39 
#JEENEET 
 #StudentsDislikePMModi… https://t.co/c1ERQtlc5s",India
pospone_neet,"Dear @HemantSorenJMM JI now your survey has been completed &amp; also published in @Live_Hindustan 

So can we expect t… https://t.co/LtktUkQTmJ",India
Rz1505,"Modiji, this is what happens when you face students ire.
There is still time left. Postpone #JEENEET immediately.… https://t.co/x1EDPGqTlX","Bengaluru, India"
kottakki369,"Why conducting #JEENEET now??
1)transportation(petrol+PubT)
2)covid(Hosp.)
3)silent majority(Alien etc)
Anymore🤔🤔🤔… https://t.co/NYAwAWT6OK",
Aatmanirbhar29,It gives me immense pleasure to see all these teenagers squealing about #JEENEET postponement while their parents f… https://t.co/xDe5hnyRz4,India
anandobhakto,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/kQ84zTiNwX",New Delhi | Srinagar 
saga_naama,"Serious  ❌Warning❌:

GIVE EXAMS OR BE LIKE HIM.
#JEENEET #Jee #NEET https://t.co/lzq1beA96y",अखण्ड भारत राष्ट्र
BarbhuiyaRezwan,@AcharyaPramodk #JEENEET  students se hai connection,"Assam, India"
RahulSi71902061,@ravikishann sir It's my humble request to you that you please provide free transport services in your region to th… https://t.co/g7u7Fvfbfs,"Kolkata, India"
MilanBaheti,"Sir How Can U Expect Students To Go And Give Exam In This Pandemic .
Please Reconsider Review Plea Once Again.… https://t.co/R1patcr1Vl","Jaipur, India"
DiveshSpeaks,"Thali-Ghanti will be made available at all the centres.

Don’t forget to chant “Go Corona Go!”

Act in a manner so… https://t.co/pb8xTQk3RG","Punjab, New Delhi"
HarshaTolani7,Indian government is acting like a parent who is forcing you to do as told. No homework no icecream after dinner!… https://t.co/0q8HwgRRH3,"Indore, India"
RajuChauhan22,"Wow, It's an amazing idea!
But only @ArvindKejriwal takes public opinion, Coz he is the CM of common people.

Best… https://t.co/oJ8lYCqoRE",Home
mitra_atreyee,"Now, India has 1 person affected with COVID-19 among every 382 persons &amp; acc. to NTA's circulars, there will be mor… https://t.co/ataP5qBUZp",
abhimanyusrana,"On an appeal from IIT Delhi director, alumni have created https://t.co/a4qiUD6ixf to map NEET/FEE students and volu… https://t.co/t7yeUiSqBd",India
RatnakarRitik,"In Gadchiroli District Currently Wadsa and many Villages overflooded due Goshikhurd Dam..
 Now what about them and… https://t.co/hbTp3BP5k0",
Anurag_Dwary,@ChouhanShivraj has announced free travel arrangements for all students for #JEENEET students will be provided free… https://t.co/3MIVReIKKw,"New Delhi, India"
_Chiranjibi_,@JajatiPanda3 @otvnews @bjd_odisha @CMO_Odisha @Naveen_Odisha This is Arun Mishra..Who allowed 30 lakhs student to… https://t.co/C3mmgqvHq1,"ODISHA,BHARAT"
p4prapti,"Since we disliked #Sadak2, they are targeting #MannKiBaat
Video. Sharing the link here. Like the video and show the… https://t.co/IntmpMUibH",India
Chandra22442097,"Still have a small hope on postponement of #JEENEET in my heart

#StudentsHatesMrModi 
#StudentsLivesMatters 
#studentdislikepmmodi",
thesochle,"Despite the Central government taking the decision of conducting the JEE &amp; NEET Entrance exams, States government i… https://t.co/JpMlgSjK5W","Delhi, India"
GirRajDhayawna,"This is beginning only

This is little anger of 25 lakh students against this govt

There are 10 cr students from… https://t.co/d7sY0vrq7E","Jaipur, India"
Mohamme42440282,After completing my exam I'm definitely not going to leave pokhriyal.We students need to show our power &amp; with that… https://t.co/XuyVH8tj98,Ghar
Tanishchauhan02,@Swamy39 Why modi government  not consult educated persons like you on #JEENEET issue,"Uttar Pradesh, India"
