user,tweets,location
devanand251,@LicypriyaK I think someone should file a new urgent petition so that atleast jee advance and neet students can get… https://t.co/vGxsmYwpET,
FAM4TMC,"Country wants Employment,
PM:Make local dogs pet.Students want to postpone #JEENEET, PM:Make Desi Toys. Country wan… https://t.co/fdT1jDW5dQ",India
kannanj011,@LicypriyaK @Swamy39 He also added that he could easily give us a win at the supreme court itself. Not acqusing or… https://t.co/1GZBX9a7Jd,Kerala 
akshayrochani,"150 teachers from home and abroad write letter to PM 

'Delay in exams will endanger students future
opposition par… https://t.co/jcJvGznaYs",India
shutupthoudonot,"And to those having problems like wearing gloves for 3 hrs specially neet aspirants , just a friendly reminder you… https://t.co/zHp4aaJVl0",
Annu021786,@smitaprakash Maximum people's in it doesn't look like they are students or even they don't know they full form of… https://t.co/nl9OR0sL95,Mumbai
has2912,We want #JEENEET to be conduxted so do all genuine studnets who r preparing for it sonce 3 4 yrs rest 90%anyeays wo… https://t.co/18HDJWOJqB,Mumbai
AryanBalaa,Unfair that Human Rights exemplar Scandinavian countries like Sweden &amp; Norway are burning and their citizens (… https://t.co/RwWLTahvgi,
Outlookindia,A large number of viewers who gave thumbs down to the latest #MannKiBaat are those demanding postponement of the… https://t.co/WDrutWOTFc,"New Delhi, India"
isha_sethi_,"@LicypriyaK Not only you. All of us.
But no, this was not a time waste. 
This was an AWAKENING for us, to see and r… https://t.co/BJDK2sKOU2",India
hrRajat,"Those who are tomtoming about @Swamy39 pls check this.
His anti govt stand on #JEENEET is unacceptable.
Swamy Sir h… https://t.co/7KgNmj9hkU",India
GKSINGH8R,"@MODIfiedVikas He and his handler's are master's of ""Divide and Rule"" they smelled an opportunity in #JEENEET and r… https://t.co/JtgqM6K8yl",
Prerrnnna,@PMOIndia Yess plzz iff iff your own house of children was going to give these #JEENEET  exam then soo you'll condu… https://t.co/PXAgCiFUhN,
pranjal87308508,@_garrywalia @VeerFagga #JEENEET #Mann_Ki_Nahi_Student_Ki_Baat @narendramodi get over ur arrogance n self obsession,
cryptokartik,"@lagankhandelwal @LicypriyaK @Swamy39 @Swamy39 Ji was right all along!!! OMG we do get now, where we failed. Every… https://t.co/QjxdJMNPfo","Crypto Club, Moon"
SunjayJK,@avinashkalla @saahilmenghani @DrRPNishank #RPNishank Ji can consult his astrologer before facing questions on… https://t.co/CtkVVCDuvW,Gurgaon 🌍 🌏 🌎 world
lalatakshaya,"If you think that only central govt. is playing with students' lives then you are wrong, State govt is also playing… https://t.co/FFIJiHE1p6","Varanasi, भारतवर्ष 🇮🇳"
Shaggy_klap,"#JEENEET 
#POSTPONEJEE_NEET 

@DG_NTA 
@DrRPNishank  don't act like those stubborn toxic girlfriends/boyfriends.… https://t.co/nCo8OxstKf",
makeperceptions,"Can #SupremeCourt ask Govt to solve issue of refund of flights cancelled by airlines.
=How flyers are liable for lo… https://t.co/V7ZnAGh8qc","New Delhi, India"
indiacom,"#JEEMain2020 begins tomorrow till September 6, while #NEET2020 is scheduled to be held on September 13.

#JEENEET… https://t.co/qwt5c6XcEc",India
ElicitOdisha,"People demanding money for Blood. Horrible Please dont do🙏
@BloodDonorsIn 
@Bloodhelpline 
@BloodAid 
@needofblood_… https://t.co/NZhB9YFjbh","Bhubaneshwar, India"
anxkxxl,"Exams during Pandemic.

Artist - Pinkesh Panchall
.
.

#POSTPONEJEE_NEET #Mann_Ki_Nahi_Student_Ki_Baat #NoMore_Neet… https://t.co/Fz8uNiQhpM","Kushinagar, India"
utkarsh_harsh26,"Sir please call again 🙏.
It's question of lives of 30 lakhs students and their families please 🙏.… https://t.co/9zwig2WQNq","Unnao, India"
JSupremo22,"@htTweets Not like that as he is saying ,,, many mire times it have been in past ...so so delay… https://t.co/mjzKPNlFKE","नई दिल्ली, भारत"
TNITweet,"‘Odisha-Mo Parivar’ sets up Help Desk for #JEE/#NEET Students.

#JEENEET #JeeNeet2020 #JEE_NEET #JEE2020… https://t.co/ES48zlQgmo",Bhubaneswar. New Delhi.
bikeshkumar1999,"90% of the audience disliked Narendra Modi's #MannKiBaat video.,
This is the beginning, if the #JEENEET examination… https://t.co/oN8vpnrYX5",भारत
SatyasundarCha3,"#JEENEET 
When students are going to protest outside, then their health is safe.
When exams will be conducted, then… https://t.co/TLqotlpFmI",your eyes👀
AWESOME_JAYG,"Will you appear in JEE/NEET?
#Mann_Ki_Nahi_Student_Ki_Baat #JEENEET #JEE_NEETStudentsInSCForJustice #jee… https://t.co/TBtUE5vMcp",
RamSHAR70041192,"#BreakingNews:
PM Modi says ""NO"" to the Postponement of #JEENEET
says we have to go through this..We have to win ov… https://t.co/U7qNUstCyI",Everywhere
AWESOME_JAYG,"Will you appear in JEE/NEET?
#Mann_Ki_Nahi_Student_Ki_Baat #JEENEET #JEE_NEETStudentsInSCForJustice #jee… https://t.co/923axwLWiZ",
shreshth001,"Our fault was just that we TRUSTED OUR LEADERS. 
OUR GOVERNMENT. 
OUR @narendramodi ji. 

And I regret doing that.… https://t.co/X5q2lWyHrv",
Aastha01297017,"All the best  JEE aspirants, we did our best now do ur best in the exams as well. Stay calm stay safe guys. May God… https://t.co/iGSnZujjZ1",
AvyaPrajapat,Members of Samajwadi Party Chatra Sabha (student wing) lathicharged in Lucknow as they hold protest against… https://t.co/SakaRz8jwQ,india
MMandaleshwar,"@dna #JEENEET participants, kindly note!",India
oigetit_india,Union Education Minister Ramesh Pokhriyal Nishank has requested Goa Chief Minister Pramod Sawant to make elaborate… https://t.co/Gbp9A3izyr,India
Thenatureboy291,"STAND FOR FUTURE 🙏
#SpeakUpForSSCRailwaysStudents
#SpeakUpForStudentSafety
#Bycottsscchairmen
#SSCdeclareCGLresult… https://t.co/3eZmQi5idG","Patna, India"
prabhav91030,"#PmModiPrideOfIndia is trending.
No doubt, he is a great PM, but should atleast think about students too.… https://t.co/p8ZnxlshaG",
pratikshankar18,"Must listen this 👇👇👇👇

The Anand kumar sir from patna says its okk to POSTPONE the Exams till this pandemic not get… https://t.co/Yw2kM3m7AI","Patna, India"
Poojajain1988,"To All students, prepare for exams and concentrate on studies instead of wasting time on Twitter by commenting on P… https://t.co/0WoWajQf33",
GKSINGH8R,"@Swamy39 Stakes seem to be very-very High 🙄

#JEENEET",
